% NextBus#  Stop#   StopLocation
% Bus 104 College Park Metro
% Bus 105 Campus Connector
% Bus 108 Adelphi
% Bus 109 River Road
% Bus 111 Silver Spring
% Bus 113 Hyattsville
% Bus 114 University View
% Bus 115 Orange
% Bus 116 Purple
% Bus 117 Blue
% Bus 118 Gold
% Bus 122 Green
% Bus 123 Discovery District
% Bus 126 New Carrollton
% Bus 127 Mazza Grandmarc
% Bus 128 The Enclave
% Bus 131 MGM/Enclave
% Bus 132 The Varsity
% Bus 133 Grocery Shopping Shuttle
% Bus 140 Carey School of Law
% Bus 141 Gaithersburg Park & Ride
% Bus 142 Columbia Park & Ride
% Bus 143 Greenbelt


10003   104#0 	Regents Drive Garage
36112   104#1 	Campus Drive at Math Slip
30487   117#4 	Mitchell Building 
30043   117#5 	Memorial Chapel 
30456   117#6 	Montgomery Hall 
27291   117#7 	Ritchie Coliseum
31765   117#8 	University Club Apartments
37105   117#9 	University View
29789   117#10 	Baltimore Avenue at The Varsity
36288   117#11 	Campus Drive at M-Circle
10002   117#12 	Stamp Student Union - Lot HH
10001   118#0 	Stamp Student Union - Slip
36495   118#1 	Union Drive at Lot 1b
36261   118#2 	Valley Drive at Stadium Drive Garage
36424   118#3 	Denton Hall
27699   118#4 	Graduate Hills at 3424 Tulane Drive 
37152   118#5 	Graduate Hills at 3410 Tulane Drive
27023   118#6 	Graduate Hills at 3404 Tulane Drive
34110   118#7 	University Boulevard at Graduate Hills
36120   118#8 	Campus Drive at UMUC Lot 19
34894   118#9 	University Methodist Church
27075   118#10 	Van Munching Hall 
27533   118#11 	LDS Institute of Religion
27505   118#12 	South Campus Commons 1 and 2
37118   118#13 	Graduate Gardens at 4315 Rowalt Drive
34958   118#14 	Graduate Gardens at 4327 Rowalt Drive
37019   118#15 	Baltimore Avenue and Hartwick Road 
30473   118#16 	Montgomery Hall 
30027   118#17 	Memorial Chapel 
37232   118#18 	Shoemaker Building
34511   118#19 	Lot Y and Chapel Drive
30494   118#20 	Mitchell Building 
36112   118#21 	Campus Drive at Math Slip
30500   118#22 	Glenn L. Martin Wind Tunnel
27863   118#23 	A.V. Williams Building
27973   118#24 	Paint Branch Drive and Technology Drive
30949   118#25 	Regents Drive and Paint Branch Drive 
30332   118#26 	Regents Drive at XFINITY Center 
30313   118#27 	Regents Drive and Farm Drive 
10003   118#28 	Regents Drive Garage
10001   118#29 	Stamp Student Union - Slip
10001   122#0 	Stamp Student Union - Slip
27719   122#1 	Art/Sociology Building
30089   122#2 	Wicomico Hall
50002   122#3 	Preinkert Drive at Lot MV
30138   122#4 	College Park Shopping Center 
50013   122#5 	Knox Road and Yale Avenue 
34238   122#6 	Knox Road and Princeton Avenue
34217   122#7 	Knox Road and Hopkins Avenue
34970   122#8 	Knox Road and Rhode Island Avenue
34873   122#9 	Rhode Island Avenue and College Avenue 
37126   122#10 	Rhode Island Avenue and Norwich Road
50011   122#11 	Rossborough Lane and Rhode Island Avenue
27726   122#12 	Fraternity Row122#5
27364   122#13 	Leonardtown Community Center
27682   122#14 	Fraternity Row122#11
36257   122#15 	Yale Avenue and Lehigh Road
50012   122#16 	Yale Avenue and Knox Road
50014   122#17 	College Park Shopping Center 
50015   122#18 	South Campus Commons 3 and 4
34728   122#19 	South Campus Commons 5 and 6
36430   122#20 	Preinkert Drive at Lot A
27412   122#21 	Somerset Hall
27941   122#22 	Anne Arundel Hall
48075   122#23 	Dorchester Hall
36495   122#24 	Union Drive at Lot 1b
36261   122#25 	Valley Drive at Stadium Drive Garage
27227   122#26 	Elkton Hall
27514   122#27 	Hagerstown Hall
27197   122#28 	La Plata Hall
36274   122#29 	Cambridge Hall
10003   122#30 	Regents Drive Garage
10001   122#31 	Stamp Student Union - Slip
10003   123#0 	Regents Drive Garage
31571   123#1 	Division of IT
10003   123#2 	Regents Drive Garage
10002   126#0 	Stamp Student Union - Lot HH
27719   126#1 	Art/Sociology Building
30089   126#2 	Wicomico Hall
50002   126#3 	Preinkert Drive at Lot MV
50003   126#4 	Guilford Drive and Rowalt Drive 
37096   126#5 	Baltimore Avenue at University Park Town Hall
48067   126#6 	Baltimore Avenue at Riverdale Park Station 
37024   126#7 	Baltimore Avenue and Underwood Street
37038 	126#8 	East-West Highway and West Beale Circle
37037 	126#9 	East-West Highway and Taylor Road 
48083 	126#10 	Riverdale Road and 63rd Avenue
37085 	126#11 	Riverdale Road and Eastpine Drive
37082 	126#12 	Riverdale Road and 67th Avenue
37084 	126#13 	Riverdale Road and Auburn Avenue
37089 	126#14 	Riverdale Road and Martins Lane
37086 	126#15 	Riverdale Road and Finns Lane
37087 	126#16 	Riverdale Road and Lamont Drive
37051 	126#17 	Riverdale Road at Fountain Club Apartments
37088 	126#18 	Riverdale Road and Mahoney Drive
37058 	126#19 	Riverdale Road at Heritage Square Apartments
37010 	126#20 	Annapolis Road and Riverdale Road
48081 	126#21 	Harkins Road and Annapolis Road
37071 	126#22 	New Carrollton Metro Station
37064 	126#23 	85th Avenue at Lenox Court Apartments
37031 	126#24 	85th Avenue at Carrollton Manor Apartments
37007 	126#25 	85th Avenue and Longfellow Street
37006 	126#26 	85th Avenue and Legation Street
37099 	126#27 	Westbrook Drive and Madison Street
37100 	126#28 	Westbrook Drive and Oglethorpe Street
37101 	126#29 	Westbrook Drive and Powhatan Street
37098 	126#30 	Westbrook Drive and Lamont Drive
37061 	126#31 	Lamont Drive and Larchwood Street
37059 	126#32 	Lamont Drive and Carrollton Parkway
37062 	126#33 	Lamont Drive and Quentin Street
37060 	126#34 	Lamont Drive and Donoghue Drive
37063 	126#35 	Good Luck Road at Lamont Elementary School
37053 	126#36 	Good Luck Road and Nashville Road
37052 	126#37 	Good Luck Road and Ian Street
37013 	126#38 	Auburn Avenue and Chestnut Avenue
37012 	126#39 	Auburn Avenue and 3rd Street
37011 	126#40 	Auburn Avenue and 1st Street
50018 	126#41 	Auburn Avenue and Riverdale Road
37102 	126#42 	Riverdale Road at Wildercroft Shopping Center
37083 	126#43 	Riverdale Road and 67th Court
37081 	126#44 	Riverdale Road and 64th Avenue
37079 	126#45 	Riverdale Road and 62nd Place
37090 	126#46 	Riverdale Road at St. Judes Lutheran Church
37036 	126#47 	East-West Highway and Taylor Road 
37023 	126#48 	Baltimore Avenue and Sheridan Street
37069 	126#49 	Baltimore Avenue at National Guard Armory
48068 	126#50 	Baltimore Avenue at Riverdale Park Station 
37014 	126#51 	Baltimore Avenue and Amherst Road
37019 	126#52 	Baltimore Avenue and Hartwick Road 
30473 	126#53 	Montgomery Hall 
30027 	126#54 	Memorial Chapel 
30494 	126#55 	Mitchell Building 
10002 	126#56 	Stamp Student Union - Lot HH
10003 	127#0   	Regents Drive Garage
36112 	127#1   	Campus Drive at Math Slip
27301 	127#2   	Baltimore Avenue and Berwyn House Road
27270 	127#3   	Baltimore Avenue and Quebec Street
55001 	127#4   	Baltimore Avenue and Tecumseh Street
55000 	127#5   	Rhode Island Avenue and University Boulevard 
27372 	127#6   	Rhode Island Avenue and Cherokee Street 
27934 	127#7   	Rhode Island Avenue and Fox Street 
30366 	127#8   	Rhode Island Avenue and Hollywood Road 
30350 	127#9   	Rhode Island Avenue at Hollywood Shopping Center
27703 	127#10  	Edgewood Road and Rhode Island Avenue 
31691 	127#11  	Edgewood Road and 49th Avenue 
37065 	127#12  	Mazza GrandMarc
30352 	127#13  	Baltimore Avenue and Berwyn Road 
27006 	127#14  	Baltimore Avenue and Quebec Street 
29789 	127#15  	Baltimore Avenue at The Varsity
30500 	127#16  	Glenn L. Martin Wind Tunnel
10003 	127#17   	Regents Drive Garage
10002 	 128#0 	    Stamp Student Union - Lot HH
36495 	 128#1 	    Union Drive at Lot 1b
36261 	 128#2 	    Valley Drive at Stadium Drive Garage
36424 	 128#3 	    Denton Hall
37121 	 128#4 	    The Enclave
30352 	 128#5 	    Baltimore Avenue and Berwyn Road 
27006 	 128#6 	    Baltimore Avenue and Quebec Street 
29789 	 128#7 	    Baltimore Avenue at The Varsity
36288 	 128#8   	Campus Drive at M-Circle
10002 	 128#9 	    Stamp Student Union - Lot HH
10002 	 131#0  	Stamp Student Union - Lot HH
34507 	 131#1  	Hoff Theater
27774 	 131#2  	Union Lane and Fieldhouse Drive
50016 	 131#3  	BioSciences Research Building
30487 	 131#4  	Mitchell Building 
30043 	 131#5  	Memorial Chapel 
30456 	 131#6  	Montgomery Hall 
27291 	 131#7  	Ritchie Coliseum
27301 	 131#8  	Baltimore Avenue and Berwyn House Road
27270 	 131#9  	Baltimore Avenue and Quebec Street 
55001 	 131#10 	Baltimore Avenue and Tecumseh Street
55000 	 131#11 	Rhode Island Avenue and University Boulevard 
27372 	 131#12 	Rhode Island Avenue and Cherokee Street 
27934 	 131#13 	Rhode Island Avenue and Fox Street 
30366 	 131#14 	Rhode Island Avenue and Hollywood Road 
30350 	 131#15 	Rhode Island Avenue at Hollywood Shopping Center
27703 	 131#16 	Edgewood Road and Rhode Island Avenue 
31691 	 131#17 	Edgewood Road and 49th Avenue 
37065 	 131#18 	Mazza GrandMarc
37121 	 131#19 	The Enclave
30352 	 131#20 	Baltimore Avenue and Berwyn Road 
27006 	 131#21 	Baltimore Avenue and Quebec Street 
29789 	 131#22 	Baltimore Avenue at The Varsity
36288 	 131#23 	Campus Drive at M-Circle
10002 	 131#24 	Stamp Student Union - Lot HH
10002 	 132#0   	Stamp Student Union - Lot HH
27719 	 132#1 	    Art/Sociology Building
30089 	 132#2 	    Wicomico Hall
50002 	 132#3 	    Preinkert Drive at Lot MV
30138 	 132#4 	    College Park Shopping Center 
27291 	 132#5 	    Ritchie Coliseum
31765 	 132#6 	    University Club Apartments
29789 	 132#7 	    Baltimore Avenue at The Varsity
36288 	 132#8 	    Campus Drive at M-Circle
10002 	 132#9 	    Stamp Student Union - Lot HH
10003 	 133#0	    Regents Drive Garage
30397 	 133#1   	Regents Drive and Stadium Drive 
30425 	 133#2 	    Regents Drive and Farm Drive 
48069 	 133#3 	    Cambridge Hall 
48070 	 133#4 	    La Plata Hall 
48071 	 133#5 	    Hagerstown Hall 
48072 	 133#6   	Elkton Hall 
48073 	 133#7 	    Valley Drive at Stadium Drive Garage 
48074 	 133#8   	Benjamin Building
27719 	 133#9 	    Art/Sociology Building
30089 	 133#10 	Wicomico Hall
50002 	 133#11 	Preinkert Drive at Lot MV
50003 	 133#12 	Guilford Drive and Rowalt Drive 
37096 	 133#13 	Baltimore Avenue at University Park Town Hall
48067 	 133#14 	Baltimore Avenue at Riverdale Park Station 
37024 	 133#15 	Baltimore Avenue and Underwood Street
48061 	 133#16 	America Boulevard at Safeway
48062 	 133#17 	America Boulevard at Regal Cinemas Hyattsville
37240 	 133#18 	Toledo Road and Belcrest Road
30537 	 133#19 	The Mall at Prince George's
37023 	 133#20 	Baltimore Avenue and Sheridan Street
37069 	 133#21 	Baltimore Avenue at National Guard Armory
48068 	 133#22 	Baltimore Avenue at Riverdale Park Station 
37014 	 133#23 	Baltimore Avenue and Amherst Road
37103 	 133#24 	Guilford Drive and Rowalt Drive 
34728 	 133#25 	South Campus Commons 5 and 6
36430 	 133#26 	Preinkert Drive at Lot A
27412 	 133#27 	Somerset Hall
27941 	 133#28 	Anne Arundel Hall
48075 	 133#29 	Dorchester Hall
36495 	 133#30 	Union Drive at Lot 1b
36261 	 133#31 	Valley Drive at Stadium Drive Garage 
27227 	 133#32 	Elkton Hall 
27514 	 133#33 	Hagerstown Hall 
